gene,gene_name,TATA,class,tail-dependence,expression,Spt7,Taf13,Med15
YPR036W-A,SPO24,TATA-containing,CR,tail-dependent,1605.616178,-1.174115391,0.200644015,-1.084514123
YLR109W,AHP1,TATA-containing,CR,tail-dependent,732.7964237,-3.683724322,-0.653262453,-1.375141294
YHR179W,OYE2,TATA-containing,CR,tail-dependent,690.2661049,-1.977531666,-0.634454984,-0.639742448
YGR209C,TRX2,TATA-containing,CR,tail-independent,604.7561255,-2.191596807,0.218667846,0.688569431
YOL151W,GRE2,TATA-containing,CR,tail-dependent,550.2401357,-2.975430957,-0.343379024,-1.172387877
YGR192C,TDH3,TATA-containing,CR,tail-dependent,550.0449288,-2.0676652,-0.459031028,-1.262290561
YOL109W,ZEO1,TATA-containing,CR,tail-dependent,542.5090742,-2.367623055,-0.470144525,-1.47969706
YLR110C,CCW12,TATA-containing,CR,tail-dependent,436.5089442,-2.46103313,-0.58960925,-0.969147814
YDR524C-B,YDR524C-B,TATA-containing,CR,tail-dependent,409.1774477,-1.422944804,-0.611321736,-1.003547623
YGL008C,PMA1,TATA-containing,CR,tail-dependent,408.4669721,-2.509955324,-1.243708907,-1.507774752
YPL240C,HSP82,TATA-containing,CR,tail-independent,398.2015965,-2.937633777,-1.615416643,-0.322246542
YMR186W,HSC82,TATA-containing,CR,tail-independent,383.7342797,-1.681272973,-1.285565513,-0.120924252
YBR244W,GPX2,TATA-containing,CR,tail-independent,378.8099634,-2.750412727,-0.647077995,1.089402837
YNL134C,YNL134C,TATA-less,CR,tail-dependent,370.2962766,-1.540121634,-0.399620885,-0.15727523
YHR174W,ENO2,TATA-less,CR,tail-dependent,357.2482559,-2.923751404,-0.778647792,-1.321955191
YCR012W,PGK1,TATA-containing,CR,tail-dependent,346.8416448,-2.890738492,-0.320288255,-1.678384382
YGR142W,BTN2,TATA-containing,CR,tail-independent,342.6848072,-2.999421643,-2.163887744,0.491916329
YML028W,TSA1,TATA-containing,CR,tail-independent,335.0787884,-2.233717672,-0.458926794,0.275376841
