gene_id,gene_name,Med8,Med17
YAL003W,EFB1,79008.435,32530.22833
YAL005C,SSA1,88506.92667,63787.02667
YAL012W,CYS3,4288.635,1693.035
YAL038W,CDC19,77419.99167,37910.33833
YAL040C,CLN3,30581.805,13837.99
YAL053W,FLC2,7668.558333,5914.518333
YAL054C,ACS1,7797.215,7509.351667
YAL061W,BDH2,16188.375,17385.845
YAR010C,YAR010C,48078.94833,4809.026667
YAR027W,UIP3,6187.508333,3732.32
YBL002W,HTB2,109546.4933,56355.48
YBL003C,HTA2,84530.17667,38259.29667
YBL004W,UTP20,6890.536667,2671.275
YBL005W-A,YBL005W-A,14170.27833,2793.52
YBL005W-B,YBL005W-B,14170.27833,2793.52
YBL011W,SCT1,5571.088333,3542.055
YBL013W,FMT1,4191.83,3482.253333
YBL014C,RRN6,4280.581667,3482.253333
YBL017C,PEP1,7444.736667,5857.196667
YBL027W,RPL19B,5323.17,5248.818333
YBL028C,YBL028C,4645.045,3629.283333
YBL029C-A,YBL029C-A,6791.013333,4187.413333
YBL030C,PET9,5385.111667,3875.048333
YBL041W,PRE7,7574.705,5875.603333
YBL044W,YBL044W,8478.001667,11179.265
YBL045C,COR1,8478.001667,11179.265
YBL054W,TOD6,5160.65,3902.758333
YBL055C,YBL055C,5018.935,3902.758333
YBL092W,RPL32,5739.84,3409.515
YBL099W,ATP1,5880.256667,3972.211667
YBL100W-A,YBL100W-A,4712.418333,2317.766667
YBL100W-B,YBL100W-B,4712.418333,2317.766667
YBR004C,GPI18,8591.39,5978.955
YBR005W,RCR1,8700.753333,5978.955
YBR007C,DSF2,6642.773333,1839.833333
YBR009C,HHF1,50799.995,18706.205
YBR010W,HHT1,47746.72333,13916.735
YBR025C,OLA1,5420.905,2111.115
YBR049C,REB1,7695.996667,8092.748333
YBR050C,REG2,5760.423333,7362.665
YBR054W,YRO2,9874.753333,6614.116667
YBR055C,PRP6,3790.926667,3402.39
YBR056W,YBR056W,3793.515,3402.39
YBR056W-A,YBR056W-A,4143.62,1234.773333
YBR059C,AKL1,4804.07,2320.22
YBR066C,NRG2,27950.21167,11920.81667
YBR068C,BAP2,128038.02,54947.33333
YBR069C,TAT1,27427.99333,10071.39833
YBR077C,SLM4,16981.45667,7587.213333
YBR078W,ECM33,22960.28667,11647.705
YBR082C,UBC4,28685.71333,12176.60333
YBR089C-A,NHP6B,10429.41667,3744.873333
YBR101C,FES1,19678.55667,8077.071667
YBR105C,VID24,16859.80833,7344.44
YBR106W,PHO88,17026.26333,9200.735
YBR112C,CYC8,7216.686667,5403.905
YBR114W,RAD16,3775.128333,1481.495
YBR118W,TEF2,44935.38833,26648.27833
YBR126C,TPS1,43406.305,35587.445
YBR126W-A,YBR126W-A,14516.32833,4409.256667
YBR145W,ADH5,9785.065,4003.111667
YBR149W,ARA1,6530.538333,6035.358333
YBR150C,TBS1,3413.62,1421.446667
YBR151W,APD1,3484.173333,1938.453333
YBR157C,ICS2,15129.37833,6679.875
YBR158W,AMN1,23663.50667,8152.98
YBR161W,CSH1,4159.576667,2870.506667
YBR162C,TOS1,16102.50167,7363.295
YBR162W-A,YSY6,6535.376667,2259.765
YBR169C,SSE2,8216.07,7726.483333
YBR182C-A,YBR182C-A,9042.793333,6972.793333
YBR183W,YPC1,9042.793333,6632.33
YBR196C,PGI1,49268.49833,26928.49
YBR196C-A,YBR196C-A,37084.44,17928.62667
YBR196C-B,YBR196C-B,21382.335,10530.72833
YBR201C-A,YBR201C-A,6527.725,3006.218333
YBR202W,MCM7,8953.535,3799.453333
YBR203W,COS111,3755.465,2575.273333
YBR218C,PYC2,9068.631667,4156.093333
YBR230C,OM14,3967.35,2687.971667
YBR230W-A,YBR230W-A,3806.31,1833.64
YBR238C,YBR238C,3487.606667,3112.983333
YBR249C,ARO4,4547.44,1577.578333
YBR287W,YBR287W,7729.308333,4771.938333
YBR296C,PHO89,22233.345,65147.10667
YCL019W,YCL019W,12179.82833,6500.491667
YCL020W,YCL020W,12179.82833,6500.491667
YCL025C,AGP1,17098.14,11457.445
YCL030C,HIS4,27257.76333,7599.606667
YCL034W,LSB5,6274.361667,3657.426667
YCL035C,GRX1,6311.226667,3523.985
YCL040W,GLK1,45763.99,20003.18
YCL043C,PDI1,43394.91833,15802.10333
YCR004C,YCP4,13892.43667,8814.806667
YCR005C,CIT2,48009.70167,30883.69333
YCR008W,SAT4,11124.875,6816.655
YCR009C,RVS161,7010.711667,4185.746667
YCR011C,ADP1,171595.4017,54936.965
YCR012W,PGK1,228383.5483,157132.0817
